,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,GRIZTRONICS,GRIZ,0.607,0.941,11,-3.807,0,0.481,0.037,0.0137,0.321,0.521,75.401,198400,0
1,IT'S ALL RIGHT,JON BATISTE,0.552,0.45,7,-9.768,1,0.0522,0.585,3.22e-05,0.316,0.614,105.108,170187,0
2,COCO MANGO DICED (BOY SCOUT MIX),DAMU THE FUDGEMUNK,0.694,0.741,1,-3.635,0,0.093,0.0384,0.347,0.383,0.929,95.033,109412,0
3,QUIET STORM,SHIERRO,0.613,0.526,7,-9.243,0,0.031,0.669,0.933,0.168,0.108,154.082,124675,0
4,STRANGE,KRIS BOWERS,0.251,0.15,2,-15.076,1,0.0342,0.989,0.972,0.113,0.0727,70.453,198640,0
5,ALGO CONTIGO,RITA PAYÉS,0.602,0.189,9,-10.708,1,0.0343,0.978,0.0152,0.102,0.247,101.241,297665,0
6,OPENDOORS,JITWAM,0.725,0.521,9,-10.248,0,0.136,0.565,0.275,0.178,0.403,114.038,162102,0
7,COCO MANGO DICED,DAMU THE FUDGEMUNK,0.643,0.585,1,-4.323,0,0.0458,0.00669,0.902,0.387,0.952,95.112,109412,0
8,MISTY - REMASTERED 2020,ERROLL GARNER,0.327,0.145,5,-20.443,1,0.0397,0.945,0.884,0.091,0.136,178.966,167122,0
9,AND1,ATHLETIC PROGRESSION,0.52,0.637,6,-10.966,1,0.0464,0.897,0.946,0.119,0.617,77.951,94671,0
10,NIGHTRIDER,TOM MISCH,0.729,0.571,11,-9.188,0,0.0869,0.0774,0.213,0.0994,0.582,81.486,300991,0
11,QUIET NIGHTS OF QUIET STARS (CORCOVADO),OSCAR PETERSON TRIO,0.583,0.322,9,-18.637,0,0.057,0.81,0.841,0.116,0.459,90.88,169067,0
12,MEDUSA,GRIZ,0.655,0.94,6,-3.524,1,0.279,0.008,0.000132,0.458,0.694,99.981,190800,0
13,NEW YORK HERALD TRIBUNE,MARTIAL SOLAL,0.312,0.138,9,-21.295,0,0.0365,0.974,0.942,0.12,0.221,61.445,89440,0
14,GIANT STEPS - 2020 REMASTER,JOHN COLTRANE,0.417,0.42,0,-13.046,0,0.06,0.186,0.00111,0.185,0.517,147.143,287844,0
