,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,ALEXANDER HAMILTON,LESLIE ODOM JR.,0.609,0.435,11,-7.861,0,0.285,0.522,0.0,0.118,0.552,131.995,236738,0
1,WAIT FOR IT,LESLIE ODOM JR.,0.543,0.473,6,-9.638,1,0.157,0.124,4.04e-06,0.0922,0.519,86.534,193750,0
2,TIME MOVES SLOW,BADBADNOTGOOD,0.591,0.376,11,-10.832,0,0.0543,0.478,0.0282,0.101,0.308,140.026,273864,0
3,DEAR THEODOSIA,LESLIE ODOM JR.,0.598,0.221,9,-10.484,1,0.0303,0.907,4.19e-05,0.0723,0.274,106.771,184004,0
4,LONE DIGGER,CARAVAN PALACE,0.769,0.924,5,-5.263,0,0.051,0.596,0.0156,0.114,0.88,123.989,229805,0
5,THE WORLD WAS WIDE ENOUGH,LESLIE ODOM JR.,0.653,0.351,5,-12.776,1,0.648,0.467,0.0,0.107,0.307,116.6,302191,0
6,IN YOUR EYES,BADBADNOTGOOD,0.488,0.528,0,-5.952,0,0.0298,0.457,0.000792,0.108,0.438,79.765,247055,0
7,CARRY ON,NORAH JONES,0.547,0.216,10,-14.908,1,0.0343,0.924,0.214,0.109,0.358,79.941,168107,0
8,LUV (SIC),NUJABES,0.906,0.677,1,-5.558,1,0.215,0.437,0.0272,0.652,0.869,93.016,286320,0
9,WONDERLAND,CARAVAN PALACE,0.772,0.796,7,-5.546,1,0.274,0.313,0.00272,0.0754,0.499,104.013,190554,0
10,AFTERMATH,CARAVAN PALACE,0.613,0.631,3,-7.731,1,0.0411,0.232,0.00362,0.284,0.388,140.002,185870,0
11,SOMEDAY,MICHAEL BUBLÉ,0.671,0.539,7,-6.08,1,0.0392,0.18,0.0,0.0748,0.934,94.98,203453,0
12,COMICS,CARAVAN PALACE,0.552,0.835,1,-5.698,1,0.0796,0.000869,0.0285,0.417,0.564,89.999,212597,0
13,FOR THE LOVE (BIG WILD REMIX),GRIZ,0.741,0.721,10,-6.369,0,0.0903,0.097,0.00618,0.26,0.548,101.022,173465,0
14,CREEP,SCOTT BRADLEE'S POSTMODERN JUKEBOX,0.292,0.359,5,-9.043,1,0.0328,0.697,1.85e-05,0.108,0.228,177.334,283259,0
15,GOT OVER - LIVE AT CAPITOL STUDIOS / 2014,ROBERT GLASPER,0.516,0.329,0,-17.344,0,0.0783,0.865,0.00779,0.093,0.181,84.182,127984,0
