,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,WHISKEY GLASSES,MORGAN WALLEN,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,1
1,CHASIN' YOU,MORGAN WALLEN,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,0
2,WHEN IT RAINS IT POURS,LUKE COMBS,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,1
3,BEAUTIFUL CRAZY,LUKE COMBS,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,1
4,SHE GOT THE BEST OF ME,LUKE COMBS,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,183160,1
5,FEATHERED INDIANS,TYLER CHILDERS,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,224947,0
6,HURRICANE,LUKE COMBS,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,222533,1
7,THE WAY I TALK,MORGAN WALLEN,0.604,0.879,4,-3.388,1,0.0322,0.0468,0.0,0.0909,0.757,137.983,208280,1
8,LADY MAY,TYLER CHILDERS,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,183533,0
9,BROKEN HALOS,CHRIS STAPLETON,0.613,0.564,8,-7.085,1,0.0251,0.134,1.65e-06,0.0585,0.538,78.388,180907,1
10,IF I KNOW ME,MORGAN WALLEN,0.777,0.604,8,-5.813,1,0.12,0.765,6.79e-05,0.11,0.672,99.934,157693,0
11,YOU MAKE IT EASY,JASON ALDEAN,0.375,0.574,7,-5.305,1,0.0315,0.143,0.0,0.11,0.406,132.025,196800,1
12,SHAKE THE FROST (LIVE),TYLER CHILDERS,0.447,0.341,2,-9.769,1,0.0457,0.806,2.05e-06,0.686,0.371,138.969,175120,0
13,IN CASE YOU DIDN'T KNOW,BRETT YOUNG,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,224853,1
